OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape__Area,Shape__Length
21440,2020,CA,CDF,NEU,NELSON,13212,2020/06/18 00:00:00+00,2020/06/23 00:00:00+00,11,,110,109.6025009,1,1,,733134.6985,4179.743142
21441,2020,CA,CDF,NEU,AMORUSO,11799,2020/06/01 00:00:00+00,2020/06/04 00:00:00+00,2,,670,685.585022,1,1,,4578171.899,12399.37539
21442,2020,CA,CDF,NEU,ATHENS,18493,2020/08/10 00:00:00+00,2020/03/01 00:00:00+00,14,,26,27.30047989,1,1,,182387.6404,2119.19412
21443,2020,CA,CDF,NEU,FLEMING,7619,2020/03/31 00:00:00+00,2020/04/01 00:00:00+00,9,,13,12.93155003,1,1,,86679.4234,2029.524881
21444,2020,CA,CDF,NEU,MELANESE,8471,2020/04/14 00:00:00+00,2020/04/19 00:00:00+00,18,,10.3,10.31595993,1,1,,70179.12235,1342.742903
21445,2020,CA,CDF,NEU,PFE,14858,2020/07/05 00:00:00+00,2020/07/05 00:00:00+00,14,,36,36.701931,1,1,,244431.5169,3012.198354
21446,2020,CA,DOD,,VALLEY,15865,2020/07/15 00:00:00+00,2020/07/16 00:00:00+00,14,Beale Air Force Base,377,376.9104919,1,1,,2538316.863,9803.350364
21447,2020,CA,CDF,NEU,WALDO,15275,2020/07/09 00:00:00+00,2020/07/12 00:00:00+00,9,,10.7,10.10221004,1,1,,68043.04137,1425.986342
21448,2020,CA,CDF,NEU,WILLOW,6064,2020/03/10 00:00:00+00,2020/03/11 00:00:00+00,5,,34,33.9738884,1,1,,230549.7851,2477.151815
21449,2020,CA,CDF,NEU,WILLOWS,21423,2020/09/09 00:00:00+00,2020/10/13 00:00:00+00,7,,1311,1309.089966,3,1,,8877495.807,15221.41054
21450,2020,CA,CDF,NEU,DYER,15012,2020/07/06 00:00:00+00,2020/07/06 00:00:00+00,8,,195,194.6602936,1,1,,1296860.608,7757.246838
21451,2020,CA,CDF,NEU,FARRIER,16781,2020/07/24 00:00:00+00,2020/07/31 00:00:00+00,8,,22.7,22.63430023,1,1,,150787.4306,1693.89813
21452,2020,CA,CDF,NEU,FIELDS,23897,2020/10/06 00:00:00+00,2020/10/09 00:00:00+00,5,,55,55.32843018,1,1,,373125.2475,3143.531417
21453,2020,CA,CDF,NEU,JONES,19231,2020/08/17 00:00:00+00,2020/09/28 00:00:00+00,1,aka INDIAN,705,705.5460205,3,1,,4770841.804,15226.05477
21454,2020,CA,DOD,,PAVE PAWS,17717,2020/08/02 00:00:00+00,2020/08/02 00:00:00+00,11,Beale Air Force Base,532,532.7733765,1,1,,3589054.985,10122.68925
21455,2020,CA,CDF,NEU,RIOSA,12970,2020/06/15 00:00:00+00,2020/06/15 00:00:00+00,11,,13.8,13.6947298,1,1,,91856.85007,1743.670874
21456,2020,CA,CDF,BTU,NELSON,6825,2020/06/17 00:00:00+00,2020/06/25 00:00:00+00,14,,95,103.3312988,1,1,,703657.6394,5758.364508
21458,2020,CA,CDF,BTU,POTTERS ,9692,2020/08/17 00:00:00+00,2020/09/10 00:00:00+00,1,2020 BUTTE LIGHTNING COMPLEX,710,925.4019165,1,1,,6307904.036,16613.48391
21459,2020,CA,CDF,BTU,CASSCADE CREEK,9703,2020/08/17 00:00:00+00,2020/09/10 00:00:00+00,1,2020 BUTTE LIGHTNING COMPLEX,12,260.1755981,1,1,,1780346.91,7022.574927
21460,2020,CA,CDF,BTU,TEDDY,6891,2020/06/18 00:00:00+00,2020/06/23 00:00:00+00,14,,134,13.27956009,1,1,,90049.4963,1648.633067
21461,2020,CA,CDF,CZU,COAST,3906,2020/06/29 00:00:00+00,2020/06/29 00:00:00+00,7,,20,20.20829964,7,1,,128343.1706,1702.000922
21462,2020,CA,CDF,CZU,CZU LIGHTNING COMPLEX,5205,2020/08/16 00:00:00+00,2020/09/24 00:00:00+00,1,,86509,86553.46094,7,1,,552318495.8,255052.1933
21463,2020,CA,CDF,MEU,OAK,10700,2020/09/07 00:00:00+00,2020/09/28 00:00:00+00,9,,1100,1146.465942,7,1,,7799786.214,18184.11758
21464,2020,CA,CDF,MEU,CREEK,9786,2020/08/18 00:00:00+00,2020/08/26 00:00:00+00,10,,820,834.2443237,7,1,,5727850.424,12821.81315
21465,2020,CA,CDF,MEU,19-Mar,9781,2020/08/18 00:00:00+00,2020/10/21 00:00:00+00,1,,62,65.00855255,4,1,,439629.1071,2611.286609
21466,2020,CA,CDF,MEU,VINEYARD,6489,2020/06/09 00:00:00+00,2020/06/18 00:00:00+00,2,,150,150.4945068,1,1,,1007057.355,5675.645916
21467,2020,CA,CDF,MEU,MINA,9342,2020/08/10 00:00:00+00,2020/08/15 00:00:00+00,4,,170,158.8692017,2,1,,1091466.034,5106.029786
21468,2020,CA,CDF,HUU,BEAR,1401,2020/02/15 00:00:00+00,2020/02/15 00:00:00+00,5,,11,10.47373962,1,1,,73476.6103,1526.389401
21469,2020,CA,CDF,HUU,REDWOOD,9006,2020/10/23 00:00:00+00,2020/10/23 00:00:00+00,2,,102,101.4002991,1,1,,711099.6237,3753.852905
21470,2020,CA,CDF,TGU,GRIZZLY,2412,2020/03/02 00:00:00+00,2020/03/06 00:00:00+00,14,,154,155.272995,1,1,,1064278.577,6540.583641
21471,2020,CA,CDF,TGU,BEEGUM,2023,2020/02/22 00:00:00+00,2020/02/23 00:00:00+00,18,,200,181.440506,2,1,,1264981.537,10696.81651
21472,2020,CA,CDF,TGU,8-Apr,8808,2020/08/17 00:00:00+00,2020/08/18 00:00:00+00,1,,300,278.0100098,1,1,,1891689.639,8954.967188
21473,2020,CA,CDF,TGU,ELK,8702,2020/08/16 00:00:00+00,2020/08/17 00:00:00+00,1,,727,730.4813843,1,1,,4982413.337,12016.13872
21474,2020,CA,CDF,TGU,RED,4162,2020/04/23 00:00:00+00,2020/04/24 00:00:00+00,5,,26.4,26.40666008,1,1,,182659.8735,2684.268887
21475,2020,CA,CDF,HUU,MINE,11303,2020/12/24 00:00:00+00,2020/12/24 00:00:00+00,5,,11,11.07413006,1,1,,77436.89297,1825.22881
21476,2020,CA,CDF,BTU,AVOCADO,7464,2020/06/30 00:00:00+00,2020/07/11 00:00:00+00,14,,136,137.5814056,1,1,,933389.975,4076.504034
21477,2020,CA,CDF,BTU,HONCUT,6966,2020/06/20 00:00:00+00,2020/06/22 00:00:00+00,14,,89,88.1860199,1,1,,597747.5029,4162.198454
21478,2020,CA,CDF,BTU,GRAND,12308,2020/10/15 00:00:00+00,2020/10/20 00:00:00+00,14, ,30,31.06109047,1,1,,211492.5058,3068.50147
21479,2020,CA,CCO,ORC,PARK FIRE,20075598,2020/07/05 00:00:00+00,2020/07/07 00:00:00+00,14, ,21,24.09783936,1,1,,141579.5073,2020.079466
21480,2020,CA,CDF,ORC,SILVERADO,20121364,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14, ,0,12469.2002,7,1,,73125983.46,65362.59357
21481,2020,CA,CDF,ORC,BLUE RIDGE,20121612,2020/10/26 00:00:00+00,2020/11/02 00:00:00+00,14, ,0,13694.53027,7,1,,80671871.27,65838.87538
21482,2020,CA,CDF,ORC,BOND,20136890,2020/12/03 00:00:00+00,2020/12/07 00:00:00+00,14, ,0,6681.101074,7,1,,39200475.4,52771.36548
21483,2020,CA,CDF,BTU,CLARK,9565,2020/08/14 00:00:00+00,2020/08/14 00:00:00+00,14,,110,106.7851028,1,1,,729464.8671,5533.236416
21484,2020,CA,CDF,NEU,DULUTH,18540,2020/08/10 00:00:00+00,2020/08/12 00:00:00+00,10,,65,71.94994354,1,1,,480239.2076,5784.257079
21485,2020,CA,CDF,NEU,KARCHNER,2117,2020/06/05 00:00:00+00,2020/06/06 00:00:00+00,2,,30,30.02492905,1,1,,201532.5878,1974.730536
21486,2020,CA,LRA,NEU,SIMPSON,24660,2020/10/15 00:00:00+00,2020/10/17 00:00:00+00,14,Yuba City Fire,29,28.57456017,6,1,,192491.0701,1971.429707
21487,2020,CA,CDF,NEU,WATT,12647,2020/06/11 00:00:00+00,2020/06/13 00:00:00+00,14,,40,39.86605835,1,1,,265518.1792,3532.947958
21488,2020,CA,CDF,NEU,LOCUST,31508,2020/12/31 00:00:00+00,2020/01/31 00:00:00+00,5,,16,15.85951042,1,1,,105708.1605,1604.873418
21489,2020,CA,CDF,BTU,GARDEN,5015,2020/05/06 00:00:00+00,2020/05/09 00:00:00+00,2,,50,49.00991058,1,1,,334118.9326,3611.378663
21490,2020,CA,CDF,BTU,FEATHER,8456,2020/07/20 00:00:00+00,2020/07/22 00:00:00+00,14,,14.9,14.74075031,1,1,,100343.8994,1522.437471
21491,2020,CA,CDF,SKU,BADGER,5356,2020/07/18 00:00:00+00,2020/07/19 00:00:00+00,10, ,557,557.3060303,1,1,,4060376.107,13506.56665
21492,2020,CA,CDF,SKU,MINER,5595,2020/07/25 00:00:00+00,2020/07/25 00:00:00+00,14,,22,23.13611031,1,1,,166418.5277,2899.109655
21493,2020,CA,CDF,SKU,JENNY 2-3,5678,2020/07/27 00:00:00+00,2020/07/27 00:00:00+00,1,From ODF aka Jenny Creek Fed Inc# ORMED-000227,12,14.63708019,1,1,,107366.6792,1594.562538
21494,2020,CA,CDF,SKU,SCHOOLHOUSE,7096,2020/09/09 00:00:00+00,2020/09/09 00:00:00+00,14,,36,37.06404114,1,1,,269098.1405,2367.926695
21495,2020,CA,CDF,SKU,TOWNSEND,3484,2020/05/17 00:00:00+00,2020/05/17 00:00:00+00,5,,13.74,13.73042965,1,1,,99819.97967,1808.098667
21496,2020,CA,CDF,SKU,SHACKLEFORD,7137,2020/09/11 00:00:00+00,2020/09/11 00:00:00+00,14,,37,37.65026855,1,1,,272468.9427,2903.044779
21497,2020,CA,CDF,TCU,MOC,9457,2020/08/20 00:00:00+00,2020/09/05 00:00:00+00,9,Cause= Weed Eating,2857.36,2857.60498,1,1,,18547049.61,24671.34816
21498,2020,CA,CDF,TCU,SALT,9353,2020/08/18 00:00:00+00,2020/08/28 00:00:00+00,9,Cause = Grinding,1593.91,1593.732056,1,1,,10403242.59,16443.51696
21499,2020,CA,CDF,TCU,WALKER,6494,2020/06/16 00:00:00+00,2020/06/23 00:00:00+00,9,Cause = Grinding,1422,1398.004028,2,1,,9143297.869,19226.90335
