,week,acres,nb_tweets
0,1,0.0,12812
1,2,0.0,9318
2,3,0.0,2017
3,4,2.20311844,6648
4,5,0.0,2908
5,6,0.0,1518
6,7,2075.696289,1002
7,8,0.0,691
8,9,0.0,1057
9,10,0.0,729
10,11,0.0,1275
11,12,0.0,1040
12,13,282.62343411,685
13,14,23.98479271,438
14,15,23.98479271,723
15,16,1277.90947571,1116
16,17,288.24560737,378
17,18,268.00311851000004,777
18,19,268.00311851000004,1144
19,20,457.54048731000006,702
20,21,365.14478111000005,697
21,22,653.87232781,1298
22,23,2638.06747513,2900
23,24,1474.89395947,1014
24,25,30819.28792317,1057
25,26,131048.35927091999,4402
26,27,159320.85839624002,8180
27,28,168504.91427971,2810
28,29,129702.28666668,1658
29,30,819519.3545658699,18956
30,31,838952.1194286097,71862
31,32,826763.1547062098,107005
32,33,867890.9976504499,36319
33,34,867689.8857539799,11306
34,35,594909.81273019,7582
35,36,599777.2253975801,6825
36,37,557264.7534268601,2941
37,38,138749.43639465,1721
38,39,138649.84449088998,784
39,40,144572.39328524002,989
40,41,144996.30311699,2287
41,42,158746.44642729,4154
42,43,158415.3328199,1100
43,44,158880.43675136002,1232
44,45,315447.60375377,146467
45,46,314989.8503987,335160
46,47,310679.7952227,118046
47,48,46256.96889771,27284
48,49,44392.68335274,18206
49,50,44392.68335274,8087
50,51,0.0,4549
51,52,0.0,10423
