object_id,year,agency,fire_name,alarm_date,cont_date,cause,gis_acres,shape_area,shape_length,geometry,fire_season
21449,2020,CDF,WILLOWS,2020-09-09,2020-10-13,7.0,1309.08996582,8877495.80679989,15221.4105433228,"POLYGON ((-121.3387913791659 39.38178938886729, -121.35273875072622 39.365941844741656, -121.31385875703278 39.37037584075068, -121.31631475551113 39.385262839593004, -121.3387913791659 39.38178938886729))",True
21462,2020,CDF,CZU LIGHTNING COMPLEX,2020-08-16,2020-09-24,1.0,86553.4609375,552318495.777984,255052.193259861,"MULTIPOLYGON (((-122.12295949633872 37.062150483122366, -122.1394183490243 37.05899790385162, -122.13819418604056 37.03373422819217, -122.10521693943404 37.020110258776484, -122.1052326886976 37.035325867986, -122.08707308802396 37.03683513087429, -122.12065992509405 37.09812653685948, -122.10976279026747 37.107084784391496, -122.14972514158887 37.138939836733016, -122.12350450781486 37.12992717540957, -122.14023964814587 37.17923288866848, -122.22211614555928 37.25017846229844, -122.30955962495929 37.26877562666643, -122.30287288219127 37.25179527073804, -122.32450604259147 37.24340839076733, -122.3271874679005 37.21088076404473, -122.34624172052855 37.19787241235985, -122.3248066404451 37.16545560750488, -122.34449908948866 37.148106642734, -122.33716455270466 37.13892719231767, -122.32301984103934 37.145520096275575, -122.27881140759315 37.09648838980826, -122.2776474829374 37.10809894374011, -122.27023985113705 37.11206164348176, -122.27506710102985 37.08943720836185, -122.19818909036869 37.02784528276337, -122.18347460516644 37.02869309385454, -122.18118086937784 37.05159725114001, -122.17010312287351 37.03868691331909, -122.15312884562398 37.04029520667139, -122.1723606367932 37.05705164722112, -122.1529537981111 37.05598325103771, -122.14019950243579 37.08229772252316, -122.11703817748162 37.06653410395568, -122.12295949633872 37.062150483122366)), ((-122.3266872796621 37.13920365889357, -122.32860230009996 37.13797932921915, -122.32874821345153 37.136418144601066, -122.32521681030552 37.137643171266255, -122.3266872796621 37.13920365889357)), ((-122.3163389202527 37.13531135566974, -122.31711790602942 37.13680273941358, -122.31894118422227 37.13782431718632, -122.3160736881735 37.1345168170878, -122.3163389202527 37.13531135566974)), ((-122.1355952197864 37.076115556136365, -122.13546183164479 37.0770037545493, -122.13675352637836 37.07649095162689, -122.1353579307024 37.07529522316566, -122.1355952197864 37.076115556136365)), ((-122.22273646639897 37.26137827358193, -122.22284163216925 37.262022955174366, -122.22371964642626 37.26183773371806, -122.22355976876358 37.26140867050773, -122.22273646639897 37.26137827358193)), ((-122.13923536220095 37.059360840352745, -122.1393176092534 37.05974030166552, -122.13984106745093 37.05970229289414, -122.13953055039993 37.05926028190857, -122.13923536220095 37.059360840352745)), ((-122.14992285090146 37.05609358369616, -122.1497283988801 37.055634419184386, -122.14955294263376 37.05559857554958, -122.14954323364215 37.05623982549746, -122.14992285090146 37.05609358369616)), ((-122.1467691650779 37.04919720998672, -122.14632080244488 37.04904744005865, -122.14627242906512 37.04959945329022, -122.14663868837614 37.04954572442247, -122.1467691650779 37.04919720998672)), ((-122.12820494433565 37.027990841029755, -122.1281036853385 37.02799009733243, -122.12819552100831 37.02800803355935, -122.12820494433565 37.027990841029755)), ((-122.12299518371003 37.06212066760551, -122.12293261245723 37.06215563289815, -122.12295949633872 37.062150483122366, -122.12299518371003 37.06212066760551)), ((-122.18072351550714 37.213123623853086, -122.18071299803177 37.21312773102513, -122.18072104244514 37.21313002963915, -122.18072351550714 37.213123623853086)))",True
21463,2020,CDF,OAK,2020-09-07,2020-09-28,9.0,1146.46594238,7799786.21433713,18184.1175761056,"POLYGON ((-123.39516163893563 39.49349048593242, -123.37825421430956 39.47754856345524, -123.35713889314478 39.48315209553739, -123.37587600005334 39.50055399998788, -123.39516163893563 39.49349048593242))",True
21480,2020,CDF,SILVERADO,2020-10-26,2020-11-02,14.0,12469.20019531,73125983.4583501,65362.593574505,"POLYGON ((-117.71345616675954 33.74971370717939, -117.75556020412623 33.76087203091185, -117.75041285844652 33.73844934818907, -117.73690219567504 33.74166148461987, -117.75300898871933 33.73037365460817, -117.73297655788345 33.71904698227956, -117.73949832684616 33.691142323542024, -117.72148710450125 33.71008021688939, -117.70977307319635 33.692338208364845, -117.69282186468332 33.69462529459884, -117.71036596218217 33.67847237946725, -117.69529223171465 33.664828614046385, -117.68177258668864 33.68779375257375, -117.64778033633756 33.698803180580406, -117.6848358427058 33.752589318473404, -117.71345616675954 33.74971370717939))",True
21481,2020,CDF,BLUE RIDGE,2020-10-26,2020-11-02,14.0,13694.53027344,80671871.26885,65838.8753839423,"POLYGON ((-117.73680338099379 33.94161471124362, -117.75556918727906 33.916861406610515, -117.73899527028705 33.90630496573843, -117.76173163012811 33.894091857820875, -117.72901498658219 33.8965823397469, -117.73665965144666 33.888872047419234, -117.71873826152846 33.88149665653405, -117.70842560027015 33.89300318161986, -117.68294938060916 33.87227092742835, -117.64962188266999 33.88791007607238, -117.65347565434055 33.92102100187627, -117.67852068536013 33.9411228457339, -117.7003227973057 33.93749338662575, -117.6951934170334 33.9522189392808, -117.73680338099379 33.94161471124362))",True
21482,2020,CDF,BOND,2020-12-03,2020-12-07,14.0,6681.10107422,39200475.3997501,52771.3654774907,"POLYGON ((-117.6379617493838 33.74450748564835, -117.7179387600273 33.77311912098261, -117.73605777930798 33.75891532070819, -117.6848358427058 33.752589318473404, -117.65485007762358 33.70664270884392, -117.6207679966424 33.71318132891612, -117.62277123882767 33.728431192160635, -117.60447255559184 33.73649212702216, -117.6379617493838 33.74450748564835))",False
21497,2020,CDF,MOC,2020-08-20,2020-09-05,9.0,2857.60498047,18547049.6084,24671.348162882,"POLYGON ((-120.26589328244539 37.77457796105078, -120.24074943764289 37.78007356350081, -120.27257674815924 37.80470644927338, -120.3027691257568 37.789019019173764, -120.28873744012054 37.77112702513498, -120.26589328244539 37.77457796105078))",True
21498,2020,CDF,SALT,2020-08-18,2020-08-28,9.0,1593.73205566,10403242.5917,16443.516962672304,"POLYGON ((-120.7702344324086 38.00441129677432, -120.76788982951705 37.995088458398236, -120.72874124943513 37.98304558896824, -120.7508038728131 38.012345749157745, -120.7702344324086 38.00441129677432))",True
21499,2020,CDF,WALKER,2020-06-16,2020-06-23,9.0,1398.00402832,9143297.86875006,19226.9033482324,"POLYGON ((-120.73199315166194 38.08511008372353, -120.69925854181032 38.05479214924997, -120.6879757027401 38.05539339602872, -120.69522510618462 38.07506207527061, -120.73199315166194 38.08511008372353))",True
21501,2020,CCO,BENA,2020-07-01,2020-07-05,14.0,2884.44311523,17566953.1488464,21314.9720002699,"MULTIPOLYGON (((-118.64462954943785 35.31581323129496, -118.66422107455585 35.32093893286211, -118.67975240593078 35.30777452483291, -118.61918158897905 35.29703973825285, -118.62453318190995 35.31533273884873, -118.64462954943785 35.31581323129496)), ((-118.7036145111297 35.317371468123056, -118.70373143764375 35.31945072557487, -118.70957043937982 35.321592553841555, -118.70549012876427 35.31935974016819, -118.7036145111297 35.317371468123056)), ((-118.70360620889987 35.3172868772003, -118.70359171188782 35.31713916447341, -118.70356480644675 35.316912727786445, -118.70337847609386 35.31703372034934, -118.70360620889987 35.3172868772003)))",True
21515,2020,CCO,STAGECOACH,2020-08-03,2020-08-03,14.0,7750.63720703,47373861.8492306,46920.338200170605,"POLYGON ((-118.47205359474117 35.44494170934284, -118.41501018612736 35.44510146767457, -118.46924312374662 35.47752004713631, -118.54227567664516 35.456682958771864, -118.52022500086048 35.43253299999204, -118.47205359474117 35.44494170934284))",True
21517,2020,CDF,PASS,2020-06-28,2020-07-01,11.0,2163.66210938,13770400.1204759,16695.5256656152,"POLYGON ((-121.15145100012367 37.05999499958487, -121.17325299977983 37.05938700022214, -121.18451299918397 37.04072599957479, -121.14988199995348 37.03093200002476, -121.15145100012367 37.05999499958487))",True
21541,2020,CDF,SODA,2020-06-10,2020-06-10,10.0,1653.11499023,10073813.3422942,19675.8492383211,"MULTIPOLYGON (((-119.93794948985479 35.33720995741808, -119.93786834413685 35.351218048849276, -119.95140297306179 35.346736206720315, -119.96043920286152 35.314958095872434, -119.9428654950943 35.30782351425015, -119.93794948985479 35.33720995741808)), ((-119.94216057900601 35.35282389130371, -119.94364757916041 35.3524838914221, -119.94526257936138 35.35136689211184, -119.93961787154318 35.35133396385703, -119.94216057900601 35.35282389130371)))",True
21548,2020,CDF,BRANCH,2020-07-28,2020-08-03,10.0,2922.20410156,17791770.350188,37572.3294763067,"POLYGON ((-120.0053295878641 35.336757886146096, -120.03412058912689 35.300744880690075, -120.04692758806158 35.26140487604411, -120.02812758471008 35.25563687672836, -120.0232855844803 35.263554877227364, -120.0053295878641 35.336757886146096), (-120.02197658729605 35.30105088263626, -120.02308758770687 35.30211088155691, -120.02260449979819 35.30440061643228, -120.021218587961 35.30292788162005, -120.02197658729605 35.30105088263626))",True
21552,2020,CDF,POND,2020-08-01,2020-08-09,7.0,1962.32897949,11977219.3446219,27175.7069460052,"POLYGON ((-120.43805192926843 35.41239144207519, -120.45575572386859 35.412525188058154, -120.4115681690662 35.3709007154994, -120.42117736591376 35.397550579894244, -120.43805192926843 35.41239144207519))",True
21560,2020,CDF,ZOGG,2020-09-27,2020-10-13,14.0,56338.05078125,393993433.312703,190609.169916124,"POLYGON ((-122.59315688429841 40.37128993643844, -122.5595640339058 40.39856348778372, -122.5765752597613 40.42783110085679, -122.54894606223186 40.4287166599603, -122.56465520254089 40.46754541045888, -122.53482140096371 40.55039339047185, -122.60621582114443 40.546536080042316, -122.6156816396861 40.52819857988131, -122.65278624167956 40.52083543650953, -122.66811478915892 40.53030539911772, -122.7079665731402 40.48640395540036, -122.69758446312724 40.463567958117714, -122.65982662242885 40.485973120601116, -122.64802259161057 40.469108436767605, -122.65559496904413 40.423629222211424, -122.7008801231899 40.384399205732116, -122.66852201793508 40.340763911736964, -122.67477055801591 40.329629219257455, -122.69134606772091 40.337372463442875, -122.69889177956358 40.31385402686947, -122.61945807898711 40.293284976718084, -122.61257873472724 40.309605861859126, -122.65400499500868 40.326197614599685, -122.59315688429841 40.37128993643844), (-122.69030100005874 40.49662599931449, -122.69024800035527 40.50008199816606, -122.68845834790015 40.49993055634145, -122.68901599957066 40.49733799918108, -122.69030100005874 40.49662599931449), (-122.6088229881188 40.39789933160159, -122.59321428125517 40.39181031916761, -122.60824893770278 40.37676548132533, -122.6148457662974 40.399707030806844, -122.6088229881188 40.39789933160159), (-122.58490882644746 40.388986823971614, -122.58708092136342 40.38652750126881, -122.58933650031204 40.39077564741153, -122.58383538998861 40.39117452862616, -122.58490882644746 40.388986823971614))",True
21562,2020,CDF,GRADE,2020-06-22,2020-06-25,7.0,1050.23999023,6599440.18131505,13592.222808206901,"POLYGON ((-119.17247168634735 36.564376876467044, -119.18274857130118 36.55726935647696, -119.1762672642555 36.5354941790344, -119.1617625482485 36.55685478820687, -119.17247168634735 36.564376876467044))",True
21569,2020,CDF,GRANT FIRE,2020-06-12,2020-06-12,2.0,5062.19824219,33560841.7726725,31944.671938624902,"POLYGON ((-121.18688204343775 38.53473645389761, -121.12842866969675 38.562234470661, -121.12801544376771 38.60400935027107, -121.17959670648355 38.571267037517224, -121.18688204343775 38.53473645389761))",True
21578,2020,CDF,HILLS,2020-08-15,2020-09-27,1.0,2120.97998047,13134178.907027,20374.516881952703,"POLYGON ((-120.29625892529832 35.994535416999426, -120.31462669436938 35.99134096147422, -120.30758487811231 35.97641523329006, -120.32209645724805 35.9671997673643, -120.28209686267328 35.97057384099245, -120.29625892529832 35.994535416999426))",True
21580,2020,CDF,MINERAL,2020-07-13,2020-07-26,14.0,29666.9609375,184633612.393489,113981.40227556901,"POLYGON ((-120.59922786775094 36.182679360377385, -120.57343809024168 36.16662749960437, -120.5582716509419 36.13077642838195, -120.5233816045329 36.12623817269792, -120.52128406439564 36.09482297761749, -120.48178357828432 36.081889053106984, -120.46641099538977 36.098381776339664, -120.43331579100331 36.094032176576945, -120.47944713389218 36.1175455173665, -120.52672347303547 36.16888309346546, -120.51416715077742 36.195716268955735, -120.55481805178096 36.23373640060158, -120.6196943070399 36.24719101594685, -120.6658878510757 36.23352164202886, -120.6702661310743 36.21116257964788, -120.64834696774889 36.19288982265683, -120.63011421007515 36.20088566989194, -120.59922786775094 36.182679360377385))",True
