year,week,nb_tweets,burned_acres
2015,1,9,0
2015,2,16,0
2015,3,26,0
2015,4,40,79
2015,5,53,79
2015,6,53,7143
2015,7,98,7128
2015,8,26,101
2015,9,52,325
2015,10,96,231
2015,11,59,23
2015,12,160,22
2015,13,27,44
2015,14,155,165
2015,15,92,133
2015,16,259,1186
2015,17,321,1188
2015,18,274,56
2015,19,1484,101
2015,20,295,22
2015,21,61,42
2015,22,76,163
2015,23,68,466
2015,24,138,1764
2015,25,1038,37026
2015,26,3845,51028
2015,27,390,34816
2015,28,785,34227
2015,29,2998,47376
2015,30,2908,60108
2015,31,17454,518066
2015,32,25712,552659
2015,33,10291,478366
2015,34,5682,407457
2015,35,2012,377867
2015,36,785,350498
2015,37,16239,455147
2015,38,48295,450298
2015,39,8293,449799
2015,40,3337,448608
2015,41,686,376627
2015,42,1309,294225
2015,43,742,292668
2015,44,893,292620
2015,45,592,198354
2015,46,714,38515
2015,47,935,38307
2015,48,181,38305
2015,49,90,31311
2015,50,73,31309
2015,51,170,31284
2015,52,840,32571
2015,53,178,32571
2016,1,104,0
2016,2,86,0
2016,3,78,0
2016,4,358,0
2016,5,362,2
2016,6,70,0
2016,7,86,0
2016,8,62,11
2016,9,80,22
2016,10,109,0
2016,11,540,0
2016,12,485,0
2016,13,174,3
2016,14,153,23
2016,15,68,116
2016,16,70,122
2016,17,163,332
2016,18,264,0
2016,19,695,1036
2016,20,102,4285
2016,21,139,4458
2016,22,779,7087
2016,23,548,7381
2016,24,3708,21453
2016,25,14034,78049
2016,26,4868,87311
2016,27,1464,33979
2016,28,499,22084
2016,29,5657,186848
2016,30,10046,188065
2016,31,2686,194459
2016,32,1488,210242
2016,33,16197,300470
2016,34,4872,262140
2016,35,1018,227262
2016,36,335,227888
2016,37,327,189759
2016,38,1060,159044
2016,39,759,163344
2016,40,1024,164077
2016,41,265,164741
2016,42,249,29601
2016,43,97,34218
2016,44,118,29815
2016,45,130,29899
2016,46,824,24245
2016,47,347,18488
2016,48,170,11376
2016,49,42,7802
2016,50,80,7802
2016,51,487,40
2016,52,116,4
2016,53,43,0
2017,1,104,0
2017,2,89,0
2017,3,55,0
2017,4,119,0
2017,5,37,0
2017,6,48,0
2017,7,67,16
2017,8,48,0
2017,9,81,0
2017,10,86,86
2017,11,126,86
2017,12,40,152
2017,13,139,553
2017,14,68,532
2017,15,73,155
2017,16,412,4586
2017,17,325,1355
2017,18,84,1226
2017,19,153,1908
2017,20,59,13975
2017,21,111,13393
2017,22,72,319
2017,23,56,2339
2017,24,151,4335
2017,25,199,20988
2017,26,1719,34384
2017,27,5845,134705
2017,28,13096,291321
2017,29,5004,292110
2017,30,1585,359798
2017,31,240,245434
2017,32,166,439413
2017,33,218,395011
2017,34,95,383381
2017,35,8841,500848
2017,36,11016,374430
2017,37,2053,346262
2017,38,1247,319094
2017,39,818,331145
2017,40,143,552517
2017,41,340462,562933
2017,42,71299,458069
2017,43,16870,425079
2017,44,7139,363230
2017,45,3481,150179
2017,46,12582,149316
2017,47,2636,29558
2017,48,2123,29329
2017,49,243480,44896
2017,50,62608,28565
2017,51,19686,22493
2017,52,8541,0
2018,1,14475,0
2018,2,10540,0
2018,3,2307,0
2018,4,7531,1
2018,5,3290,15
2018,6,1713,25
2018,7,1142,2095
2018,8,784,2075
2018,9,1200,0
2018,10,832,1
2018,11,1444,2
2018,12,1162,0
2018,13,772,281
2018,14,504,281
2018,15,814,83
2018,16,1250,1283
2018,17,430,1541
2018,18,888,2070
2018,19,1292,281
2018,20,790,1884
2018,21,780,819
2018,22,1448,844
2018,23,3276,10071
2018,24,1148,8654
2018,25,1197,37533
2018,26,5013,134321
2018,27,9257,175251
2018,28,3179,261803
2018,29,1891,170732
2018,30,21574,820277
2018,31,81229,846052
2018,32,120823,915545
2018,33,41167,868523
2018,34,12846,867989
2018,35,8597,868153
2018,36,7723,605463
2018,37,3385,607452
2018,38,1964,561086
2018,39,878,139222
2018,40,1117,145145
2018,41,2563,150033
2018,42,4712,183197
2018,43,1251,158750
2018,44,1388,158928
2018,45,165785,413525
2018,46,379229,315914
2018,47,133185,314981
2018,48,30879,310671
2018,49,20623,46253
2018,50,9110,44389
2018,51,5134,44389
2018,52,11772,2
2019,1,5088,0
2019,2,38581,0
2019,3,17034,0
2019,4,4560,0
2019,5,9920,0
2019,6,3736,0
2019,7,4824,0
2019,8,2030,0
2019,9,2366,0
2019,10,6972,0
2019,11,3735,616
2019,12,5560,586
2019,13,1509,22
2019,14,2550,22
2019,15,2256,0
2019,16,2359,45
2019,17,3069,53
2019,18,2001,182
2019,19,2523,3408
2019,20,2137,167
2019,21,2908,833
2019,22,1982,2213
2019,23,2857,5968
2019,24,2921,6736
2019,25,2658,2551
2019,26,2274,7055
2019,27,1623,2426
2019,28,2506,4739
2019,29,4721,4058
2019,30,2361,24832
2019,31,16138,26771
2019,32,1727,27444
2019,33,1555,28025
2019,34,9968,28531
2019,35,2178,31861
2019,36,2913,67339
2019,37,2543,63163
2019,38,4235,51179
2019,39,8837,36911
2019,40,1640,41905
2019,41,34339,55315
2019,42,4269,54775
2019,43,45763,131407
2019,44,187433,146305
2019,45,76674,131377
2019,46,9263,42631
2019,47,3989,38077
2019,48,3473,29084
2019,49,5478,28591
2019,50,2295,13200
2019,51,2877,6646
2019,52,2703,0
2020,1,64197,0
2020,2,11895,26
2020,3,3050,0
2020,4,2499,0
2020,5,2112,0
2020,6,1638,0
2020,7,1319,12
2020,8,1159,349
2020,9,10728,250
2020,10,1346,421
2020,11,1854,58
2020,12,1909,4
2020,13,3540,4
2020,14,790,18
2020,15,1042,4
2020,16,692,14
2020,17,3645,118
2020,18,633,4
2020,19,1631,243
2020,20,1813,116
2020,21,707,196
2020,22,704,1410
2020,23,666,4678
2020,24,2455,13132
2020,25,5188,8620
2020,26,1057,8277
2020,27,886,14628
2020,28,1748,8987
2020,29,1423,48254
2020,30,1350,154593
2020,31,1624,325673
2020,32,2405,330799
2020,33,7539,1985905
2020,34,220739,2920430
2020,35,107708,2945238
2020,36,42618,3362334
2020,37,289601,3324754
2020,38,155479,2775205
2020,39,60135,2593723
2020,40,63668,2492955
2020,41,29758,2484624
2020,42,66394,2474846
2020,43,9537,2417129
2020,44,17827,2259625
2020,45,3013,2237023
2020,46,4100,2208963
2020,47,4848,1171400
2020,48,1994,1013481
2020,49,3862,1018584
2020,50,4167,681364
2020,51,1856,516120
2020,52,2184,517311
2020,53,1373,134265
2021,1,1348,0
2021,2,2628,0
2021,3,4510,0
2021,4,43686,0
2021,5,12812,0
2021,6,1719,0
2021,7,23985,0
2021,8,6874,0
2021,9,1177,0
2021,10,1420,0
2021,11,1588,0
2021,12,1767,0
2021,13,1145,0
2021,14,2201,0
2021,15,2729,0
2021,16,2062,0
2021,17,4781,0
2021,18,2969,0
2021,19,2150,0
2021,20,3528,0
2021,21,3876,0
2021,22,3726,0
2021,23,2372,0
2021,24,9911,0
2021,25,7541,0
2021,26,8209,0
2021,27,7635,0
2021,28,17142,0
2021,29,16844,0
2021,30,10981,0
2021,31,31817,0
2021,32,20047,0
2021,33,20457,0
2021,34,16621,0
2021,35,25930,0
2021,36,12584,0
2021,37,36070,0
2021,38,12464,0
2021,39,7466,0
2021,40,4691,0
2021,41,5452,0
2021,42,3329,0
2021,43,5261,0
2021,44,2260,0
2021,45,2214,0
2021,46,8133,0
2021,47,3070,0
2021,48,2067,0
2021,49,2939,0
2021,50,1781,0
2021,51,1104,0
2021,52,1019,0
2021,53,1214,0
