,Id,Date,Text,State
133,615234755273949184,2015-06-28,"['sierra', 'front', 'says', 'small', 'due', 'lightning', 'northern', 'nevada']",Nevada
155,615206299714752513,2015-06-28,"['overnight', 'lightning', 'strikes', 'spark', 'dozen', 'new', 'northern', 'firefighters', 'say', 'lightning']",California
215,614918188069883904,2015-06-27,"['western', 'southern', 'roars', 'life', 'foxaustin']",Texas
785,614467923285925888,2015-06-26,"['western', 'southern', 'roars', 'life', 'associated', 'press', 'chewing']",North Carolina
932,614439768110174208,2015-06-26,"['mountain', 'grow', 'forces', 'evacuations', 'charging', 'several', 'dry', 'western', 'states']",California
1087,614404878895595520,2015-06-26,"['cali', 'grew', 'private', 'drone', 'flights', 'disrupted', 'air', 'drops']",New York
1516,614213046169239552,2015-06-25,"['firefighters', 'scan', 'skies', 'drones', 'lakefire', 'san', 'bernardino', 'county']",California
1618,614173369227808768,2015-06-25,"['western', 'grows', 'forces', 'evacuations', 'charging', 'several', 'dry', 'western']",Nevada
1640,614168174485983232,2015-06-25,[],Pennsylvania
1821,614122441720201216,2015-06-25,"['marine', 'layer', 'could', 'bring', 'dry', 'lightning', 'worsen', 'southern', 'hazard']",California
1836,614114650481766400,2015-06-25,"['western', 'grows', 'forces', 'evacuations']",California
1923,614094784693600257,2015-06-25,"['western', 'grows', 'forces', 'evacuations', 'charging', 'several', 'dry', 'western']",Washington
2110,614059995290689536,2015-06-25,"['evacuations', 'ordered', 'southern', 'grows', 'associated', 'press', 'sweeping']",North Carolina
2164,614031499722162177,2015-06-25,"['massive', 'sweep']",England
2220,614007654122307584,2015-06-25,"['evacuations', 'threatened', 'homes', 'associated', 'press', 'sweeping']",Illinois
2307,614002371719368704,2015-06-25,"['evacuations', 'threatened', 'homes', 'associated', 'press', 'sweeping']",Massachusetts
2321,614000773438001152,2015-06-25,"['evacuated', 'north', 'losangeles', 'santaclarita', 'rage']",North Carolina
2361,613960822969077761,2015-06-25,"['woah', 'seen', 'mountains', 'way', 'coachella', 'coachella']",California
2544,613902161546625024,2015-06-25,"['sunset', 'beautiful', 'im', 'also', 'sad']",Nevada
2545,613900317483110400,2015-06-25,"['bouncing', 'back', 'season', 'never', 'ends', 'fourth', 'year', 'drought']",California
2547,613899181833367552,2015-06-25,"['bouncing', 'back', 'season', 'never', 'ends', 'fourth', 'year', 'drought']",California
2710,613763384392024064,2015-06-24,"['clark', 'co', 'issues', 'advisory', 'smoke', 'ca', 'burning', 'southern', 'prompted', 'officials']",Nevada
3085,613406227884851200,2015-06-23,"['nearly', 'fighting', 'huge', 'earlyseasonfire']",California
3094,613399637265772544,2015-06-23,"['firefighters', 'gain', 'ground', 'across', 'firefighters', 'continuing', 'gain', 'control']",California
3477,612783803942080512,2015-06-22,"['globalwarming', 'drought', 'manmade', 'massive', 'burning', 'homes', 'risk', 'new', 'started', 'today', 'alaska']",California
3516,612764752671023109,2015-06-21,"['lake', 'tahoe', 'looking', 'south', 'heavenly', 'tahoe', 'beachtime', 'sierranevada']",California
3559,612706567108980736,2015-06-21,"['crackling', 'first', 'day', 'summer', 'summer', 'arrived', 'sunday', 'season']",California
3608,612444092648132608,2015-06-21,"['tear', 'alaska', 'tearing', 'west', 'coast']",Massachusetts
3621,612390256940326912,2015-06-20,"['im', 'really', 'saddened', 'hear', 'earthquakes', 'omg', 'pray', 'everyone', 'sad']",Tennessee
3640,612331344870268928,2015-06-20,"['burning', 'big', 'bear', 'lake', 'blaze', 'grows', 'acres', 'hot', 'dry']",California
3790,612193662760525824,2015-06-20,"['destroyed', 'gt', 'acres', 'us', 'week', 'still', 'burn', 'arizona', 'oregon', 'alaska']",New Hampshire
3921,612020110023368704,2015-06-19,"['wh', 'obama', 'met', 'gov', 'brown', 'today', 'discuss', 'federal', 'state', 'local', 'efforts', 'deal', 'drought']",District of Columbia
3944,611976304313810944,2015-06-19,"['burn', 'deserts', 'mountains', 'dry', 'one', 'southern', 'burned', 'three', 'homes']",California
4213,611581915712229376,2015-06-18,"['bring', 'evacuations', 'southern', 'forced', 'evacuation', 'nearly', 'campers']",Nevada
4217,611566493868797952,2015-06-18,"['yep', 'latest', 'check', 'map']",California
4313,610847724993388545,2015-06-16,"['prevent', 'plumas', 'nationalpark', 'smokeythebear', 'campfire']",California
4601,605600096407797760,2015-06-02,"['without', 'homes', 'thats', 'destroying', 'acres', 'land', 'thats', 'story']",Texas
4624,603765166165995521,2015-05-28,"['east', 'bay', 'regional', 'parks', 'proactive', 'fighting', 'midst', 'massive', 'drought']",California
4681,601631395144929280,2015-05-22,"['becareful', 'koorsinsurance', 'koors', 'insurance']",California
4704,600840719897591809,2015-05-20,"['ive', 'come', 'realization', 'prefer', 'earthquakes', 'seasons', 'need', 'move', 'back']",Maryland
5059,597468150792212481,2015-05-10,"['damn', 'thats', 'worse', 'thought', 'least', 'million', 'trees', 'dead', 'drought', 'thinkprogress']",Texas
5480,596423538128584705,2015-05-07,"['least', 'million', 'trees', 'dead', 'drought']",Pennsylvania
5819,596131060833857536,2015-05-07,"['least', 'million', 'trees', 'dead', 'drought', 'climatechange']",Queensland
6334,594556544248913920,2015-05-02,"['worsening', 'climate', 'change', 'state', 'determined', 'fix']",Mato Grosso
6783,589969012143951873,2015-04-20,"['hi', 'wendy', 'mention', 'aquifers', 'also', 'environment', 'seem', 'stressed', 'drying']",California
6823,589561144085504000,2015-04-18,"['wearefarmers', 'becareful', 'homeownersinsurance', 'havetherightciverage', 'ffr']",California
7394,577940858374201344,2015-03-17,"['scary', 'times', 'drought', 'making', 'yearround', 'threat']",California
7536,572389903935393793,2015-03-02,"['ab', 'new', 'global', 'warming', 'solutions', 'act']",California
7605,567747783957155840,2015-02-17,"['hate', 'tell', 'people', 'im', 'moving', 'tell', 'oh', 'theres', 'like', 'ok', 'thanks', 'fun', 'fact']",New York
8108,681099439646334976,2015-12-27,"['floods', 'uk', 'argentina', 'tornadoes', 'texas', 'peaceful', 'restful', 'festive', 'season', 'many']",England
8176,680980902361473024,2015-12-27,"['australia', 'tornadoes', 'texas', 'floods', 'south', 'america', 'uk', 'whats', 'happening', 'planet', 'earth']",Chhattisgarh
8499,680875017618485248,2015-12-26,"['blaze', 'explodes', 'acres', 'overnight', 'nbcnewsl']",Tennessee
8644,680848881546964992,2015-12-26,"['tine', 'mór', 'gar', 'go', 'ventura', 'anghaofar', 'faoi', 'láthair', 'rud', 'nach', 'gcabhraíonn', 'leis', 'scéal']",California
8689,680819662444101632,2015-12-26,"['solimarfire', 'acres', 'burning', 'toward', 'beach', 'approx', 'people', 'evacuated', 'cawildfire']",California
8754,679194011479879680,2015-12-22,"['residents', 'flee', 'huge', 'governor', 'declares', 'emergency', 'remembering', 'old', 'friend', 'died']",Colorado
8786,678033394094104576,2015-12-19,"['getting', 'expensive', 'cleanup']",California
8787,678030770229788672,2015-12-19,"['getting', 'expensive', 'cleanup']",California
8813,677970613923741697,2015-12-18,"['faces', 'costly', 'cleanup']",California
9026,672494585529040896,2015-12-03,"['focuses', 'power', 'lines', 'top', 'cause']",California
9066,671098266688356353,2015-11-29,"['cycling', 'earth', 'global', 'warming', 'californiathailand', 'australia']",Queensland
9103,669682996128026624,2015-11-26,"['focuses', 'power', 'lines', 'top', 'cause']",California
9130,669552768550486016,2015-11-25,"['focuses', 'power', 'lines', 'top', 'cause']",California
9154,669390067245297664,2015-11-25,"['focuses', 'power', 'lines', 'top', 'cause']",California
9156,669381039224025088,2015-11-25,"['animals', 'find', 'homes', 'veterinary', 'googlealerts']",California
9157,669367412077162497,2015-11-25,"['starting', 'burn', 'marijuana', 'farms', 'one', 'job', 'firemen', 'volunteers']",Virginia
9195,668787260809056256,2015-11-23,"['capturing', 'aweinspiring', 'humbling']",Ontario
9346,668101577396256768,2015-11-21,"['capturing', 'relentless', 'aweinspiring', 'humbling']",Florida
9361,668092140153507840,2015-11-21,"['focuses', 'power', 'lines', 'top', 'cause']",California
9956,667831550684172289,2015-11-20,"['focuses', 'power', 'lines', 'top', 'cause']",California
10002,667158387210059776,2015-11-19,"['top', 'cause', 'lawmakers', 'point', 'pgampe']",California
10006,667124058262114304,2015-11-18,"['focuses', 'power', 'lines', 'cause']",California
10088,665270485035282436,2015-11-13,[],California
10096,665220722512429056,2015-11-13,"['paradise', 'burned', 'climatechange', 'scorching']",Nevada
10317,664570807662878720,2015-11-11,"['paradise', 'burned', 'climate', 'change', 'scorching', 'huffpostpol']",Vaud
10450,664247991503466496,2015-11-11,"['paradise', 'burned', 'climatechange', 'scorching']",Texas
10679,663503909600686080,2015-11-08,"['climate', 'change', 'increase', 'risk', 'extreme', 'calif', 'study', 'says']",California
10815,662628910560124928,2015-11-06,"['thank', 'beautiful', 'flower', 'donation', 'staff', 'flowers', 'ari']",Massachusetts
11144,661404320890400769,2015-11-03,"['dead', 'tree', 'emergency', 'could', 'fuel', 'el', 'nino', 'floods', 'calling', 'worst', 'epidemic', 'tree']",California
11263,660534529946292224,2015-10-31,"['unexpected', 'threat', 'condors', 'veterinary', 'wildlife']",California
11268,660478477179691009,2015-10-31,"['got', 'speak', 'chief', 'san', 'diego']",California
11371,660127233630060544,2015-10-30,"['feds', 'approve', 'million', 'victims']",California
11453,659884682092216321,2015-10-30,"['best', 'burn', 'ive', 'seen', 'since']",California
11620,659786666366795776,2015-10-29,"['says', 'smoke', 'kills', 'hundreds', 'thousands', 'makes', 'us', 'sick', 'environment', 'health']",Texas
12036,658236075706445824,2015-10-25,"['californiawildfiresareabruptclimatechangeecologicalcollapse', 'ecointernet']",New South Wales
12119,658055006818467841,2015-10-24,"['wowthe', 'haze', 'smell', 'stifling', 'scary', 'stretches', 'many', 'miles', 'good', 'situation']",California
12124,658035821627482116,2015-10-24,"['abrupt', 'climate', 'change', 'ecological', 'collapse', 'ecology', 'climate']",Pennsylvania
12157,657611360210030592,2015-10-23,"['hurricane', 'patricia', 'super', 'typhoon', 'koppu', 'devastating', 'syrian', 'drought', 'civil', 'war']",Missouri
12403,656553406744494081,2015-10-20,"['caused', 'mygawd']",California
12469,656425278370025473,2015-10-20,"['voluntary', 'claims', 'handling', 'reforms', 'promoted', 'californiadepartmentofinsurance', 'answers']",Tennessee
12480,656332582909378560,2015-10-20,"['scientists', 'deny', 'climate', 'change', 'story', 'video', 'kusinews']",California
12749,655165264229748736,2015-10-16,"['nobleeffort', 'oaklandfiredept', 'help', 'firefighters', 'lost', 'homes', 'thank']",California
12771,655107317466181632,2015-10-16,"['also', 'result', 'well', 'drought', 'southern']",California
12822,654901377005568000,2015-10-16,"['mums', 'main', 'reasons', 'late', 'night', 'calling', 'earthquakes', 'mudslides']",California
12992,654689452850180096,2015-10-15,"['cause', 'nearly', 'billion', 'damage', 'insurance', 'company', 'says', 'two', 'massive']",Nevada
13062,654508859483009024,2015-10-15,"['lets', 'forget', 'burning', 'idaho', 'wyoming', 'acres']",Massachusetts
13066,654507850010460160,2015-10-15,"['lets', 'forget', 'burning', 'idaho', 'wyoming', 'acres', 'please', 'retweet', 'news', 'usa']",Massachusetts
13301,653800619354910720,2015-10-13,"['may', 'allow', 'inmate', 'firefighters', 'violent', 'pasts']",California
